Game_ID,Score
ID_03VRW8WV,Draw
ID_05YW7A1R,Draw
ID_064HV3UA,Draw
ID_06SV1XSM,Draw
ID_08N8KYTM,Draw
ID_0BFR12C0,Draw
ID_0D97CTM2,Draw
ID_0H4KVTOZ,Draw
ID_0OW7LBXH,Draw
ID_0UB8ADG9,Draw
ID_133YXY0T,Draw
ID_172V2IXW,Draw
ID_1J98M9UL,Draw
ID_1JGSZL4I,Draw
ID_1KCBWUKE,Draw
ID_1Y735BT9,Draw
ID_1YF71544,Draw
ID_25GTI42K,Draw
ID_2B96PJLU,Draw
ID_2BHM1MAF,Draw
ID_2DMNO9QP,Draw
ID_2WSDLFNM,Draw
ID_2X3AC0BS,Draw
ID_2ZK5TE39,Draw
ID_313CQJ6L,Draw
ID_3I1STYJX,Draw
ID_3SHIZPTH,Draw
ID_3SIVKWL4,Draw
ID_3TIWWKU9,Draw
ID_4G117ZRE,Draw
ID_4KXP34GC,Draw
ID_4M8BH80D,Draw
ID_4Q60CD7W,Draw
ID_530FN5PE,Draw
ID_568NZHSC,Draw
ID_56ZZJ9EI,Draw
ID_5LFD56QF,Draw
ID_5RTFVRBT,Draw
ID_60EADYBI,Draw
ID_6DCVCZN8,Draw
ID_6NMJFGI6,Draw
ID_7DM8G9SL,Draw
ID_7H9RUYR2,Draw
ID_7HWNZT53,Draw
ID_7JTHUMTF,Draw
ID_7MWJO1RG,Draw
ID_7Q5V45IR,Draw
ID_7RVSY2WQ,Draw
ID_7SH1NGU4,Draw
ID_7ZBSNKA9,Draw
ID_7ZQ7E7Q2,Draw
ID_8518U587,Draw
ID_85W3ZWMS,Draw
ID_86GTEWAA,Draw
ID_8AKT073X,Draw
ID_8LEIJZJI,Draw
ID_8QTW09GB,Draw
ID_8ZJMCSAG,Draw
ID_9FMP4X22,Draw
ID_9H3FH940,Draw
ID_9P65QCMQ,Draw
ID_9UVQHS74,Draw
ID_A0EALXUP,Draw
ID_A46DVQWP,Draw
ID_A5U63MGQ,Draw
ID_A84IUATV,Draw
ID_AB2XN1F5,Draw
ID_AFHJCI8U,Draw
ID_ANHOSW6K,Draw
ID_AOLHJTW3,Draw
ID_B32VWKSX,Draw
ID_B3NVY9HP,Draw
ID_B5ED50XX,Draw
ID_B8ZVJSX7,Draw
ID_B9JSESNH,Draw
ID_BK1X6A61,Draw
ID_BR430MM1,Draw
ID_BXLQY78T,Draw
ID_C51DS9XE,Draw
ID_CV9VOLIU,Draw
ID_CVL86B7P,Draw
ID_D1BKOMNB,Draw
ID_D4BBONMS,Draw
ID_D8RLSTH5,Draw
ID_DLPZZFIJ,Draw
ID_DN9ALJT4,Draw
ID_DSZ1VC2A,Draw
ID_DYAVEIYE,Draw
ID_E4NAVOHG,Draw
ID_EEAWBOYL,Draw
ID_EETOBLMQ,Draw
ID_EFUM1IB3,Draw
ID_EMIAV5PV,Draw
ID_EP02V6O9,Draw
ID_EU409IWG,Draw
ID_EVSAW1BF,Draw
ID_EVTW8X2J,Draw
ID_EWFWK6L1,Draw
ID_F2M9J1QJ,Draw
ID_FDCEHVOD,Draw
ID_FEOI64KN,Draw
ID_FKNOHQ2F,Draw
ID_FRUGDE4G,Draw
ID_G91KCS98,Draw
ID_GBP5RWBW,Draw
ID_GGFY5Z38,Draw
ID_GGRLN92Z,Draw
ID_GI90U9RD,Draw
ID_GLACPTCA,Draw
ID_GOMKISKS,Draw
ID_GVX36W01,Draw
ID_H49BIKG7,Draw
ID_H4WRH27A,Draw
ID_H5QG5VMD,Draw
ID_H6H66KH2,Draw
ID_H6V0DHCM,Draw
ID_HNY0SOAW,Draw
ID_HRER0KI5,Draw
ID_HTSWMY3T,Draw
ID_IBRGSBOA,Draw
ID_IG3ZU2ZF,Draw
ID_IGWZ8LQR,Draw
ID_IM6OHCK8,Draw
ID_IPJJKELT,Draw
ID_IPWDET7J,Draw
ID_IS54QGW9,Draw
ID_JA9L72HB,Draw
ID_JFIU2R4K,Draw
ID_JHECYNWP,Draw
ID_JKJP61NL,Draw
ID_JMF7GIUY,Draw
ID_JNE2K1SS,Draw
ID_JXNNMUJK,Draw
ID_JZ6N5FRO,Draw
ID_K06LVF2G,Draw
ID_KD5JPIY4,Draw
ID_KJBPWWIH,Draw
ID_KL74YZ1W,Draw
ID_KR88Y90B,Draw
ID_KSKX84HK,Draw
ID_L1OMXXIV,Draw
ID_L80OJ6QI,Draw
ID_LJF4GEZC,Draw
ID_LTB6HGNO,Draw
ID_LUDJ2HBX,Draw
ID_LVP6C9HW,Draw
ID_LWI3010X,Draw
ID_MJ8THLEX,Draw
ID_MM9562CN,Draw
ID_MNGV4C4L,Draw
ID_MP4ONP0P,Draw
ID_MPA7FT70,Draw
ID_MWXN4B53,Draw
ID_MXDJNYS9,Draw
ID_MZRCNBAQ,Draw
ID_N0UG6G1F,Draw
ID_N4FNUPW8,Draw
ID_NFN5I5XU,Draw
ID_NMRV6S78,Draw
ID_NQGKKQRG,Draw
ID_NQX0L8NJ,Draw
ID_O3EQ8WEA,Draw
ID_O50PFEVT,Draw
ID_OB71L9F1,Draw
ID_OBS64UDF,Draw
ID_OBSKQ4V1,Draw
ID_OHS6RR07,Draw
ID_OKHY3GBQ,Draw
ID_ON6TBDP7,Draw
ID_P98LF0O1,Draw
ID_PBON8UC5,Draw
ID_PD70LTRE,Draw
ID_PJ53WB0E,Draw
ID_PK1XYY2J,Draw
ID_PK7PTLYZ,Draw
ID_PO6SP4VA,Draw
ID_PYMMJPRC,Draw
ID_Q0QMD9X9,Draw
ID_QCQ20X8Y,Draw
ID_QHZJNHVX,Draw
ID_QKQ00O16,Draw
ID_QKWD8147,Draw
ID_QPA4T2QH,Draw
ID_QQYS31OV,Draw
ID_QR4DQRG1,Draw
ID_QV0XBIAB,Draw
ID_RFU5FMC8,Draw
ID_RPNHBU1X,Draw
ID_RRYKCVJW,Draw
ID_RT5HR95R,Draw
ID_RX2CNZIS,Draw
ID_S2N3NDJS,Draw
ID_S2ZLOYQU,Draw
ID_SA37C0V7,Draw
ID_SGHWIP1E,Draw
ID_SY9KA6L3,Draw
ID_TEHN7MG2,Draw
ID_TFI6B51W,Draw
ID_TRN20YF5,Draw
ID_TRXZ1689,Draw
ID_U8OKJQV2,Draw
ID_UIJNWDX2,Draw
ID_UOTGKHS3,Draw
ID_UUQYAGBP,Draw
ID_V8L2BWZV,Draw
ID_VEHWAM3N,Draw
ID_VP9Q1486,Draw
ID_VZDE4BA3,Draw
ID_W1EF4MOT,Draw
ID_W5BFF5QC,Draw
ID_WDL1IC3Y,Draw
ID_WJIU8X3N,Draw
ID_WRQ0YFYZ,Draw
ID_X9050P7D,Draw
ID_XBT7BBZD,Draw
ID_XK39LD7P,Draw
ID_XQGYMP2Q,Draw
ID_XVGLDCOL,Draw
ID_XWL7CYH2,Draw
ID_YG9IONLS,Draw
ID_YLIXN9AV,Draw
ID_YMK5WFEQ,Draw
ID_YP3N91A2,Draw
ID_YQ6DCSJJ,Draw
ID_YSOEYNCU,Draw
ID_YU30VY06,Draw
ID_ZD3UQK1K,Draw
ID_ZIMAODWU,Draw
ID_ZJC5BV5Z,Draw
ID_ZMO6O1V6,Draw
ID_ZQOB9ZQL,Draw
ID_ZRZC49M1,Draw
ID_ZTDZNU6I,Draw
ID_ZUPS2JD2,Draw
